,amenities
1464,"['Shampoo', 'Dishwasher', 'Showergel', 'Minifridge', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Freeparkingonpremises', 'Petsallowed', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Soundsystem', 'Hotwaterkettle', 'Toaster', 'Iron', 'Wineglasses', 'Conditioner', 'Kitchen', 'Bedlinens', 'Bakingsheet', 'Exerciseequipment', 'Heating', 'Dishesandsilverware', 'Bodysoap', 'Room-darkeningshades', 'Oven', 'Coffee', 'Hostgreetsyou', 'Microwave']"
1465,"['FreewasherInbuilding', 'Shampoo', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Waterfront', 'Exteriorsecuritycamerasonproperty', 'Privateentrance', 'Packnplay/Travelcrib', 'Coffeemaker', 'Highchair', 'Privatepatioorbalcony', 'FreedryerInbuilding', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Babysitterrecommendations', 'Iron', 'HDTVwithstandardcable', 'Canalview', 'Firstaidkit', 'Hotwater', 'Bedlinens', 'Hangers', 'Courtyardview', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced', 'Hairdryer', 'Room-darkeningshades', 'Crib', 'Oven', 'Fireextinguisher', 'Hostgreetsyou', 'Microwave']"
1467,"['Coffeemaker:Nespresso', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Blender', 'Washer', 'Dryingrackforclothing', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Toaster', 'Dryer', 'Iron', 'Hotwater', 'TV', 'Bedlinens', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Oven', 'Microwave']"
1468,"['Paidstreetparkingoffpremises', 'Singlelevelhome', 'Dishwasher', 'EVcharger', 'Atagrefrigerator', 'Privateentrance', 'Atagstainlesssteeloven', 'Washer', 'Dryingrackforclothing', 'JblsoundsystemwithBluetoothandaux', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'Piano', 'Outdoordiningarea', 'Cookingbasics', 'Exerciseequipment:stationarybike', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Wifi', 'Andersstove', 'Toaster', 'Hotwaterkettle', 'Dryer', 'Iron', 'Wineglasses', 'Cleaningavailableduringstay', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Clothingstorage:closet', 'Centralairconditioning', 'Bedlinens', 'Hangers', 'Booksandreadingmaterial', 'Kitchen', 'Bakingsheet', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Boardgames', 'Laundromatnearby', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
1469,"['WindowACunit', 'Essentials', 'Dishwasher', 'Waterfront', 'Paidparkingoffpremises', 'Privateentrance', 'Smokingallowed', 'Outdoorfurniture', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Toaster', 'Soundsystem', 'Hotwaterkettle', 'Firstaidkit', 'Hotwater', 'Clothingstorage:closet', 'Lockbox', 'Bedlinens', 'Kitchen', 'Hangers', 'Coffeemaker:Keurigcoffeemachine', 'Portablefans', 'Ethernetconnection', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Fireextinguisher', 'Patioorbalcony', 'Selfcheck-in', 'Petsallowed', 'Diningtable', 'Microwave']"
1470,"['Paidstreetparkingoffpremises', 'Singlelevelhome', 'Dishwasher', 'Privateentrance', 'FreedryerInunit', 'Washer', 'Coffeemaker', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Refrigerator', 'Wifi', 'Hotwater', 'TV', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Oven', 'Diningtable']"
1472,"['Essentials', 'Dishwasher', 'Blender', 'Trashcompactor', 'Washer', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Coffeemaker', 'Privatepatioorbalcony', 'Cookingbasics', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Babysitterrecommendations', 'Hotwaterkettle', 'Clothingstorage:closetanddresser', 'Portableairconditioning', 'Iron', 'Wineglasses', 'Hotwater', 'Bedlinens', 'Kitchen', 'Hangers', 'Radiantheating', 'Bakingsheet', 'Portableheater', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Oven', 'Coffee', 'Microwave']"
1473,"['Wifi', 'Firstaidkit', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm']"
1474,"['Coffeemaker:Nespresso', 'Shampoo', 'Essentials', 'Paidparkingoffpremises', 'Privateentrance', 'Luggagedropoffallowed', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Lockonbedroomdoor', 'Wifi', 'Refrigerator', 'Toaster', 'Iron', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'Centralairconditioning', 'Gardenview', 'Lockbox', 'Bedlinens', 'Hangers', 'Carbonmonoxidealarm', 'Centralheating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Privatelivingroom', 'Fireextinguisher', 'Laundromatnearby', 'Selfcheck-in', 'Diningtable', 'Hotwaterkettle']"
1475,"['Shampoo', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Showergel', 'Minifridge', 'Exteriorsecuritycamerasonproperty', 'Privateentrance', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Freezer', 'Wifi', 'Hotwaterkettle', 'Breakfast', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Bedlinens', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Lakeaccess', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'HDTVwithNetflix', 'Hulu', 'AppleTV', 'Disney+', 'HBOMax', 'Laundromatnearby', 'Airconditioning', 'Coffee', 'Diningtable', 'Microwave']"
1476,"['Shampoo', 'Essentials', 'Dishwasher', 'Waterfront', 'Showergel', 'HDTVwithChromecast', 'standardcable', 'Netflix', 'Mosquitonet', 'Outdoorfurniture', 'Coffeemaker', 'Highchair', 'Privatepatioorbalcony', 'Freeparkingonpremises', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Toaster', 'Dryer', 'Iron', 'Wineglasses', 'Freestreetparking', 'Canalview', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Gardenview', 'Bedlinens', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced', 'Childrensbooksandtoys', 'Hairdryer', 'Bodysoap', 'Crib', 'Boardgames', 'Oven', 'Fireextinguisher', 'Parkview', 'Childrensdinnerware', 'Diningtable', 'Hotwaterkettle']"
1477,"['Carbonmonoxidealarm', 'Centralheating', 'Wifi', 'Dishesandsilverware', 'Room-darkeningshades', 'Smokealarm', 'Essentials', 'Fireextinguisher', 'TV', 'Clothingstorage:closet', 'Kitchen', 'Cookingbasics', 'Mosquitonet']"
1478,"['Coffeemaker:Nespresso', 'Shampoo', 'PaiddryerInbuilding', 'Gym', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Exteriorsecuritycamerasonproperty', 'Privateentrance', 'TVwithstandardcable', 'Luggagedropoffallowed', 'Buildingstaff', 'Longtermstaysallowed', 'Highchair', 'Selfcheck-in', 'Cookingbasics', 'Dedicatedworkspace', 'PaidwasherInbuilding', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Iron', 'Wineglasses', 'Conditioner', 'Elevator', 'Hotwater', 'Clothingstorage:closet', 'Bedlinens', 'Hangers', 'Kitchen', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Crib', 'Oven', 'Safe', 'Fireextinguisher', 'Bikes', 'Airconditioning', 'Diningtable', 'Microwave']"
1479,"['Wifi', 'Centralheating', 'Coffeemaker:Nespresso', 'Dishesandsilverware', 'Kitchenette', 'Fireextinguisher', 'Privatepatioorbalcony', 'Hotwater', 'Minifridge', 'Gardenview', 'Lockbox', 'Bikes', 'Selfcheck-in', 'Coffee', 'Cleaningproducts', 'Smokealarm', 'Diningtable', 'Hotwaterkettle']"
1481,"['Shampoo', 'Essentials', 'Dishwasher', 'Exteriorsecuritycamerasonproperty', 'TVwithstandardcable', 'Washer', 'Longtermstaysallowed', 'Coffeemaker', 'Windowguards', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Toaster', 'Refrigerator', 'Wifi', 'Stove', 'Hotwaterkettle', 'Dryer', 'Iron', 'Noisedecibelmonitorsonproperty', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Smartlock', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Crib', 'Oven', 'Safe', 'Fireextinguisher', 'Selfcheck-in', 'Microwave']"
1482,"['Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Bluetoothsoundsystem', 'Privateentrance', 'FreedryerInunit', 'Washer', 'Selfcheck-in', 'Coffee', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Petsallowed', 'Hotwaterkettle', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'Booksandreadingmaterial', 'Smartlock', 'Bedlinens', 'Kitchen', 'Hangers', 'Singleoven', 'HDTVwithDisney+', 'Netflix', 'Centralheating', 'Dishesandsilverware', 'Fireextinguisher', 'Laundromatnearby', 'Coffeemaker:dripcoffeemaker', 'Childrensdinnerware', 'Outdoorplayground', 'Otherinductionstove', 'Microwave']"
1483,"['Gasstove', 'Shampoo', 'Paidstreetparkingoffpremises', 'Stainlesssteelsingleoven', 'Essentials', 'Pocketwifi', 'Dishwasher', 'Waterfront', 'EVcharger', 'Showergel', 'Minifridge', 'Cityskylineview', 'Privateentrance', 'Mosquitonet', 'Blender', 'Washer', 'Luggagedropoffallowed', 'Outdoorfurniture', 'Coffeemaker', 'Privatepatioorbalcony', 'Coffee', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Greenteabodysoap', 'Freezer', 'Hotwaterkettle', 'Toaster', 'Iron', 'Wineglasses', 'Greenteaconditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Clothingstorage:closet', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Lockbox', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Lakeaccess', 'Childrensbooksandtoys', 'Hairdryer', 'Extrapillowsandblankets', 'Boardgames', 'Backyard', 'Paidparkingonpremises', 'Ricemaker', 'Sharedbeachaccess', 'Laundromatnearby', 'Parkview', 'Selfcheck-in', 'Outdoorplayground', 'Diningtable', 'Microwave']"
1484,"['Coffeemaker:Nespresso', 'Shampoo', 'Singlelevelhome', 'Essentials', 'Waterfront', 'Minifridge', 'Privateentrance', 'Sharedbackyard', 'Smokealarm', 'Paidparkinggarageonpremises1space', 'Refrigerator', 'Wifi', 'Wineglasses', 'Conditioner', 'Hotwater', 'Sharedpatioorbalcony', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Privatelivingroom', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
1485,"['Wifi', 'Washer', 'Fireextinguisher', 'Firstaidkit', 'TV', 'Kitchen', 'Smokealarm']"
1486,"['Hammock', 'Essentials', 'Privateentrance', 'Washer', 'Outdoorfurniture', 'Coffeemaker', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Dryer', 'Iron', 'Firstaidkit', 'TV', 'Gardenview', 'Lockbox', 'Kitchen', 'Hangers', 'Firepit', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Backyard', 'Selfcheck-in', 'Petsallowed']"
1487,"['Coffeemaker:Nespresso', 'Shampoo', 'Sunloungers', 'Singlelevelhome', 'Essentials', 'Pocketwifi', 'Waterfront', 'EVcharger', 'Showergel', 'Minifridge', 'Privateentrance', 'Luggagedropoffallowed', 'Outdoorfurniture', 'Longtermstaysallowed', 'Privatepatioorbalcony', 'Freeparkingonpremises', 'Smokealarm', 'Refrigerator', 'Babysitterrecommendations', 'Iron', 'Wineglasses', 'Freestreetparking', 'Boatslip', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Riverview', 'Lockbox', 'Bedlinens', 'Wifi36Mbps', 'Carbonmonoxidealarm', 'HDTVwithChromecast', 'Disney+', 'HBOMax', 'Netflix', 'Centralheating', 'PrivatebackyardFullyfenced', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Crib', 'Clothingstorage', 'Laundromatnearby', 'Bikes', 'Selfcheck-in', 'Coffee', 'Hostgreetsyou', 'Cleaningavailableduringstay', 'Hotwaterkettle']"
1488,"['Dishwasher', 'Washer', 'Dryingrackforclothing', 'Privatepatioorbalcony', 'Othergasstove', 'Cookingbasics', 'Toaster', 'Freezer', 'Smokealarm', 'Refrigerator', 'Wifi', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Kitchen', 'Bedlinens', 'Bakingsheet', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Oven', 'Fireextinguisher', 'Coffeemaker:dripcoffeemaker', 'Hostgreetsyou', 'Hotwaterkettle']"
1489,"['Wifi', 'Stove', 'Heating', 'Dishesandsilverware', 'Iron', 'Hairdryer', 'Shampoo', 'Coffeemaker', 'Backyard', 'Freestreetparking', 'Essentials', 'Oven', 'TV', 'Kitchen', 'Privateentrance', 'Cookingbasics', 'Smokealarm', 'Refrigerator']"
1490,"['Coffeemaker:Nespresso', 'Shampoo', 'Sunloungers', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Bluetoothsoundsystem', 'Paidparkinglotonpremises', 'Privateentrance', 'Blender', 'FreedryerInunit', 'Washer', 'Dryingrackforclothing', 'Outdoorfurniture', 'Longtermstaysallowed', 'Privatepatioorbalcony', 'AEGsingleoven', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Freezer', 'Wifi', 'Toaster', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Ceilingfan', 'Bedlinens', 'Hangers', 'Clothingstorage:wardrobeanddresser', 'Kitchen', 'Bakingsheet', 'Hottub', 'Centralheating', 'Smegrefrigerator', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Otherinductionstove', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
1491,"['Shampoo', 'Essentials', 'Showergel', 'Privateentrance', 'Coffeemaker', 'Refrigerator', 'Wifi', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'TV', 'Hangers', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Laundromatnearby', 'Coffee', 'Hotwaterkettle']"
1492,"['Marinaview', 'Shampoo', 'Essentials', 'Waterfront', 'Privateentrance', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Coffeemaker', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Lockonbedroomdoor', 'Wifi', 'Refrigerator', 'Iron', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Bedlinens', 'Indoorfireplace', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Lakeaccess', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Boardgames', 'Fireextinguisher', 'Patioorbalcony', 'Parkview', 'Petsallowed', 'Cleaningavailableduringstay', 'Hotwaterkettle']"
1493,"['Carbonmonoxidealarm', 'Wifi', 'Heating', 'Hairdryer', 'Fireextinguisher', 'Noisedecibelmonitorsonproperty', 'Firstaidkit', 'Hotwater', 'TV', 'Exteriorsecuritycamerasonproperty', 'Smartlock', 'Selfcheck-in', 'Smokealarm', 'Lockonbedroomdoor']"
1494,"['Shampoo', 'Essentials', 'Dishwasher', 'Bidet', '48inchHDTVwithAmazonPrimeVideo', 'HBOMax', 'Netflix', 'Paidparkingoffpremises', 'Showergel', 'Exteriorsecuritycamerasonproperty', 'Coffeemaker:espressomachine', 'Blender', 'FreedryerInunit', 'Exerciseequipment:freeweights', 'yogamat', 'Dryingrackforclothing', 'Outdoorfurniture', 'Stainlesssteelgasstove', 'Piano', 'Fastwifi68Mbps', 'Privatepatioorbalcony', 'Coffee', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Freezer', 'Toaster', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Canalview', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Sonossoundsystem', 'Oven', 'Ricemaker', 'AC-splittypeductlesssystem', 'Breadmaker', 'Laundromatnearby', 'Outdoorplayground', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
1495,"['Standalonehighchair-alwaysatthelisting', 'Electricstove', 'Essentials', 'Dishwasher', 'Changingtable', 'Privateentrance', 'Packnplay/Travelcrib', '55inchHDTVwithHBOMax', 'Netflix', 'FreedryerInunit', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Selfcheck-in', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Toaster', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'Lockbox', 'Bedlinens', 'Kitchen', 'Stainlesssteeloven', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Childrensbooksandtoysforages0-2yearsold', 'Outletcovers', 'Crib', 'Boardgames', 'Backyard', 'Childrensdinnerware', 'Diningtable', 'Microwave']"
1496,"['Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Coffeemaker', 'Cookingbasics', 'Freezer', 'Smokealarm', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Iron', 'Otherstove', 'Wineglasses', 'Hotwater', 'Hangers', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Oven', 'Fireextinguisher', 'Patioorbalcony', 'Clothingstorage', 'Laundromatnearby', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
1497,"['Dishwasher', 'EVcharger', 'Privateentrance', 'Washer', 'Dryingrackforclothing', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Hotwaterkettle', 'Dryer', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'TV', 'Lockbox', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Room-darkeningshades', 'Boardgames', 'Oven', 'Fireextinguisher', 'Clothingstorage', 'Selfcheck-in', 'Diningtable', 'Microwave']"
1498,"['Dishwasher', 'Privateentrance', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Soundsystem', 'Hotwaterkettle', 'Iron', 'Otherstove', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Lockbox', 'Kitchen', 'Bedlinens', 'Portablefans', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Extrapillowsandblankets', 'Boardgames', 'Oven', 'Patioorbalcony', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
1499,"['Wifi', 'Washer', 'Outdoordiningarea', 'Kitchen', 'Hostgreetsyou']"
1500,"['Shampoo', 'Essentials', 'Privateentrance', 'Luggagedropoffallowed', 'Coffeemaker', 'Smokealarm', 'Refrigerator', 'Wifi', 'Iron', 'Firstaidkit', 'Hotwater', 'TV', 'Bedlinens', 'Kitchen', 'Hangers', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Oven', 'Hostgreetsyou', 'Microwave']"
1501,"['MarieStellaMarisbodysoap', 'Shampoo', 'Essentials', 'Dishwasher', 'Cityskylineview', 'Privateentrance', 'Washer', 'Outdoorfurniture', 'SonosBluetoothsoundsystem', 'Coffeemaker', 'Privatepatioorbalcony', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Clothingstorage:closet', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Airconditioning', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
1502,"['Coffeemaker:pour-overcoffee', 'Shampoo', 'Hammock', 'Essentials', 'Dishwasher', 'Waterfront', 'Privateentrance', 'Mosquitonet', 'Blender', 'Washer', 'Dryingrackforclothing', 'Outdoorfurniture', 'Highchair', 'Freeparkingonpremises', 'Outdoordiningarea', 'BBQgrill', 'Gameconsole', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Babysitterrecommendations', 'Soundsystem', 'Toaster', 'Dryer', 'Iron', 'Wineglasses', 'Beachessentials', 'Freestreetparking', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Gardenview', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Fireplaceguards', 'Indoorfireplace', 'Kitchen', 'Portablefans', 'Carbonmonoxidealarm', 'Firepit', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Backyard', 'Oven', 'Patioorbalcony', 'Clothingstorage', 'Barbecueutensils', 'Bikes', 'Childrensdinnerware', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
1503,"['Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Privateentrance', 'TVwithstandardcable', 'Washer', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Smartlock', 'Bedlinens', 'Kitchen', 'Hangers', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Oven', 'Patioorbalcony', 'Selfcheck-in', 'Microwave']"
1504,"['Essentials', 'TVwithstandardcable', 'Washer', 'Outdoorfurniture', 'Coffeemaker', 'Privatepatioorbalcony', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Wifi', 'Dryer', 'Iron', 'Canalview', 'Hotwater', 'Riverview', 'Gardenview', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced']"
1505,"['Essentials', 'Privateentrance', 'FreedryerInunit', 'Coffeemaker', 'Freeparkingonpremises', 'Cookingbasics', 'Refrigerator', 'Wifi', 'Breakfast', 'Freestreetparking', 'Firstaidkit', 'Hotwater', 'Kitchen', 'Bedlinens', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Privatelivingroom', 'Backyard', 'Patioorbalcony', 'Hostgreetsyou']"
1506,"['Shampoo', 'Essentials', 'Dishwasher', 'EVcharger', 'Paidparkingoffpremises', 'Showergel', 'Dryingrackforclothing', 'Coffeemaker', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Iron', 'Breakfast', 'Firstaidkit', 'Hotwater', 'Gardenview', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Safe', 'Fireextinguisher', 'Patioorbalcony', 'Clothingstorage:closet', 'wardrobe', 'anddresser', 'Selfcheck-in', 'Petsallowed', 'Hotwaterkettle']"
1507,"['Shampoo', 'Essentials', 'Dishwasher', 'Blender', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Soundsystem', 'Toaster', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Boardgames', 'Oven', 'Fireextinguisher', 'Clothingstorage', 'Selfcheck-in', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
1508,"['Carbonmonoxidealarm', 'Centralheating', 'Washer', 'Wifi', 'Iron', 'Hairdryer', 'Lockbox', 'Kitchen', 'Selfcheck-in', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator']"
1509,"['Wifi', 'Washer', 'Soundsystem', 'Heating', 'Dishesandsilverware', 'Iron', 'Recordplayer', 'Hairdryer', 'Coffeemaker', 'HDTVwithstandardcable', 'Essentials', 'Dedicatedworkspace', 'EVcharger', 'Lockbox', 'Selfcheck-in', 'Cleaningproducts', 'Smokealarm', 'Refrigerator']"
